experiment,condition,seed,generation_count,gen,population_size,mutation_rate,tournament_size,elite_rate,architecture,parameter_count,input_pattern,weight_profile,best_fitness,avg_fitness
seed_repeat,fast_best_0.20_t3,42,24,8,16,0.2,3,0.2,1x16,242,default,baseline,239.51339236690842,210.55456295378008
seed_repeat,fast_best_0.20_t3,42,24,9,16,0.2,3,0.2,1x16,242,default,baseline,239.51339236690842,205.71209210762848
seed_repeat,fast_best_0.20_t3,42,24,10,16,0.2,3,0.2,1x16,242,default,baseline,245.05509484376898,214.98462417290023
seed_repeat,fast_best_0.20_t3,42,24,11,16,0.2,3,0.2,1x16,242,default,baseline,245.05509484376898,217.85784173436542
seed_repeat,fast_best_0.20_t3,42,24,12,16,0.2,3,0.2,1x16,242,default,baseline,245.05509484376898,229.19774958799263
seed_repeat,fast_best_0.20_t3,42,24,13,16,0.2,3,0.2,1x16,242,default,baseline,254.667548905376,238.5029448634368
seed_repeat,fast_best_0.20_t3,42,24,14,16,0.2,3,0.2,1x16,242,default,baseline,254.667548905376,242.83268634080744
seed_repeat,fast_best_0.20_t3,42,24,15,16,0.2,3,0.2,1x16,242,default,baseline,254.667548905376,246.60167417376258
seed_repeat,fast_best_0.20_t3,42,24,16,16,0.2,3,0.2,1x16,242,default,baseline,254.70391860045277,247.6030932565655
seed_repeat,fast_best_0.20_t3,42,24,17,16,0.2,3,0.2,1x16,242,default,baseline,259.6312501766969,250.07100947062457
seed_repeat,fast_best_0.20_t3,42,24,18,16,0.2,3,0.2,1x16,242,default,baseline,261.1077153726386,254.64966573594702
seed_repeat,fast_best_0.20_t3,42,24,19,16,0.2,3,0.2,1x16,242,default,baseline,261.1077153726386,257.7510756482923
seed_repeat,fast_best_0.20_t3,42,24,20,16,0.2,3,0.2,1x16,242,default,baseline,261.1077153726386,258.86946996204665
seed_repeat,fast_best_0.20_t3,42,24,21,16,0.2,3,0.2,1x16,242,default,baseline,261.1077153726386,257.9855341416309
seed_repeat,fast_best_0.20_t3,42,24,22,16,0.2,3,0.2,1x16,242,default,baseline,261.1077153726386,256.9919002561609
seed_repeat,fast_best_0.20_t3,42,24,23,16,0.2,3,0.2,1x16,242,default,baseline,261.9759968882978,259.48051016872637
seed_repeat,fast_best_0.20_t3,42,24,24,16,0.2,3,0.2,1x16,242,default,baseline,261.9759968882978,258.29775787900104
seed_repeat,fast_best_0.20_t3,43,24,0,16,0.2,3,0.2,1x16,242,default,baseline,173.15606138289232,124.72290905134332
seed_repeat,fast_best_0.20_t3,43,24,1,16,0.2,3,0.2,1x16,242,default,baseline,173.15606138289232,150.3495663647777
seed_repeat,fast_best_0.20_t3,43,24,2,16,0.2,3,0.2,1x16,242,default,baseline,175.34537294058197,155.11590522337949
seed_repeat,fast_best_0.20_t3,43,24,3,16,0.2,3,0.2,1x16,242,default,baseline,176.0183446131919,170.73545001070028
seed_repeat,fast_best_0.20_t3,43,24,4,16,0.2,3,0.2,1x16,242,default,baseline,177.17579703442632,173.74373447064417
seed_repeat,fast_best_0.20_t3,43,24,5,16,0.2,3,0.2,1x16,242,default,baseline,181.47949317775385,174.1484329863298
seed_repeat,fast_best_0.20_t3,43,24,6,16,0.2,3,0.2,1x16,242,default,baseline,183.46328239382814,176.4045220415013
seed_repeat,fast_best_0.20_t3,43,24,7,16,0.2,3,0.2,1x16,242,default,baseline,191.36755192840505,180.06722093946487
seed_repeat,fast_best_0.20_t3,43,24,8,16,0.2,3,0.2,1x16,242,default,baseline,191.36755192840505,182.82547049266262
seed_repeat,fast_best_0.20_t3,43,24,9,16,0.2,3,0.2,1x16,242,default,baseline,192.827176304199,186.14973566200575
seed_repeat,fast_best_0.20_t3,43,24,10,16,0.2,3,0.2,1x16,242,default,baseline,201.49574579860854,189.60885542498994
seed_repeat,fast_best_0.20_t3,43,24,11,16,0.2,3,0.2,1x16,242,default,baseline,228.90610075352743,196.74966055823853
seed_repeat,fast_best_0.20_t3,43,24,12,16,0.2,3,0.2,1x16,242,default,baseline,228.90610075352743,203.92508340070052
seed_repeat,fast_best_0.20_t3,43,24,13,16,0.2,3,0.2,1x16,242,default,baseline,232.24538449602653,214.22912520547703
seed_repeat,fast_best_0.20_t3,43,24,14,16,0.2,3,0.2,1x16,242,default,baseline,239.46061264486372,225.75797681823792
seed_repeat,fast_best_0.20_t3,43,24,15,16,0.2,3,0.2,1x16,242,default,baseline,244.21930296805135,232.68202448443418
seed_repeat,fast_best_0.20_t3,43,24,16,16,0.2,3,0.2,1x16,242,default,baseline,255.12513486572294,237.51335186986904
seed_repeat,fast_best_0.20_t3,43,24,17,16,0.2,3,0.2,1x16,242,default,baseline,255.12513486572294,244.83894522203158
seed_repeat,fast_best_0.20_t3,43,24,18,16,0.2,3,0.2,1x16,242,default,baseline,255.12513486572294,250.5097357041259
seed_repeat,fast_best_0.20_t3,43,24,19,16,0.2,3,0.2,1x16,242,default,baseline,256.5765003449878,251.39458635828055
seed_repeat,fast_best_0.20_t3,43,24,20,16,0.2,3,0.2,1x16,242,default,baseline,257.1124553100122,253.16170370582927
seed_repeat,fast_best_0.20_t3,43,24,21,16,0.2,3,0.2,1x16,242,default,baseline,257.1124553100122,253.46607485597838
seed_repeat,fast_best_0.20_t3,43,24,22,16,0.2,3,0.2,1x16,242,default,baseline,259.5569995944711,253.70121043832074
seed_repeat,fast_best_0.20_t3,43,24,23,16,0.2,3,0.2,1x16,242,default,baseline,259.5569995944711,254.80848185234117
seed_repeat,fast_best_0.20_t3,43,24,24,16,0.2,3,0.2,1x16,242,default,baseline,261.266495753943,256.53495450093226
seed_repeat,fast_best_0.20_t3,44,24,0,16,0.2,3,0.2,1x16,242,default,baseline,175.29002860123632,118.06396367334293
seed_repeat,fast_best_0.20_t3,44,24,1,16,0.2,3,0.2,1x16,242,default,baseline,175.29002860123632,142.94647536058045
seed_repeat,fast_best_0.20_t3,44,24,2,16,0.2,3,0.2,1x16,242,default,baseline,175.29002860123632,146.02087411116713
seed_repeat,fast_best_0.20_t3,44,24,3,16,0.2,3,0.2,1x16,242,default,baseline,187.9251555679166,153.89838435953266
seed_repeat,fast_best_0.20_t3,44,24,4,16,0.2,3,0.2,1x16,242,default,baseline,187.9251555679166,150.94701521467437
seed_repeat,fast_best_0.20_t3,44,24,5,16,0.2,3,0.2,1x16,242,default,baseline,201.0003399200608,158.84322460441336
seed_repeat,fast_best_0.20_t3,44,24,6,16,0.2,3,0.2,1x16,242,default,baseline,201.0003399200608,167.58376302871034
seed_repeat,fast_best_0.20_t3,44,24,7,16,0.2,3,0.2,1x16,242,default,baseline,205.011365564112,178.60881139042567
seed_repeat,fast_best_0.20_t3,44,24,8,16,0.2,3,0.2,1x16,242,default,baseline,215.14062824166393,190.05214733185892
seed_repeat,fast_best_0.20_t3,44,24,9,16,0.2,3,0.2,1x16,242,default,baseline,215.57440939154463,201.6713791058663
seed_repeat,fast_best_0.20_t3,44,24,10,16,0.2,3,0.2,1x16,242,default,baseline,223.82086481354082,208.8385466285375
seed_repeat,fast_best_0.20_t3,44,24,11,16,0.2,3,0.2,1x16,242,default,baseline,223.82086481354082,210.429051804413
seed_repeat,fast_best_0.20_t3,44,24,12,16,0.2,3,0.2,1x16,242,default,baseline,226.09051896945294,216.54437841341354
seed_repeat,fast_best_0.20_t3,44,24,13,16,0.2,3,0.2,1x16,242,default,baseline,229.88520306922575,221.9093720429156
seed_repeat,fast_best_0.20_t3,44,24,14,16,0.2,3,0.2,1x16,242,default,baseline,236.355678636429,223.2935790728887
seed_repeat,fast_best_0.20_t3,44,24,15,16,0.2,3,0.2,1x16,242,default,baseline,236.355678636429,222.29136171563164
seed_repeat,fast_best_0.20_t3,44,24,16,16,0.2,3,0.2,1x16,242,default,baseline,242.54716259322302,229.7268749064321
seed_repeat,fast_best_0.20_t3,44,24,17,16,0.2,3,0.2,1x16,242,default,baseline,243.8620478742787,237.16384587553344
seed_repeat,fast_best_0.20_t3,44,24,18,16,0.2,3,0.2,1x16,242,default,baseline,249.00241431266286,242.35335182232882
seed_repeat,fast_best_0.20_t3,44,24,19,16,0.2,3,0.2,1x16,242,default,baseline,250.16009744281575,244.25548517133288
seed_repeat,fast_best_0.20_t3,44,24,20,16,0.2,3,0.2,1x16,242,default,baseline,252.1483850791494,246.74228011952422
seed_repeat,fast_best_0.20_t3,44,24,21,16,0.2,3,0.2,1x16,242,default,baseline,252.1483850791494,247.06671032518426
seed_repeat,fast_best_0.20_t3,44,24,22,16,0.2,3,0.2,1x16,242,default,baseline,253.38747447000378,249.0772615713532
seed_repeat,fast_best_0.20_t3,44,24,23,16,0.2,3,0.2,1x16,242,default,baseline,253.7681866458442,250.83747442339143
seed_repeat,fast_best_0.20_t3,44,24,24,16,0.2,3,0.2,1x16,242,default,baseline,254.79826976525044,248.40979134606886
